user_id,account,password,birth_year,gender,favorite_movies
1,user_000001,fNX89c,1958,Female,260|2571|1196|541|1214|1240|1253|1200|1199|741
2,user_000002,j6Ewas,1999,Male,1370|3105|1953
3,user_000003,DftiU5,1988,Female,3421|1198|1291
4,user_000004,B2Gv8C,2005,Male,2947|2692|2951
5,user_000005,G9ylqB,1971,Female,2560|1897|994
6,user_000006,PQ97rR,1967,Male,3565|1028|3534
7,user_000007,OMQtCI,1977,Female,1610|733|1722
8,user_000008,S4mZds,1985,Female,1721|1730|527
9,user_000009,XDwDBC,1958,Male,2692|2959|1307
10,user_000010,AmHjd9,1973,Other,1101|1023|1784
11,user_000011,xUZPHQ,1979,Male,1288|1213|1923
12,user_000012,Hv5lCs,1979,Female,593|1303|999
13,user_000013,JhHnUP,1999,Male,1259|1356|1527
14,user_000014,jmUUju,1988,Male,2762|1263|2396
15,user_000015,c0h6wD,1990,Male,3499|1527|364
16,user_000016,Reu9iH,1955,Male,2394|1269|3175
17,user_000017,LGhUer,1979,Other,3510|1923|2661
18,user_000018,Q1lqCg,1974,Male,2375|2622|50
19,user_000019,irfHH7,1960,Male,2080|480|1350
20,user_000020,juboxc,2002,Female,47|1240|589
21,user_000021,kVOlgI,1957,Female,1210|3745|2700
22,user_000022,BHTGYD,1973,Male,1748|1253|2046
23,user_000023,uu4ZAv,1970,Female,2012|2011|541
24,user_000024,HtsBCx,1998,Male,2407|296|608
25,user_000025,fpk2nR,1966,Male,1356|1580|2502
26,user_000026,XMV3aK,1965,Female,804|1968|3261
27,user_000027,9gZ0Ww,1992,Male,1276|955|1207
28,user_000028,bsP0rc,1997,Male,2248|608|2997
29,user_000029,xxyLLX,1988,Male,3726|1220|1214
30,user_000030,3BQdSm,2008,Female,1176|593|1216
31,user_000031,sD9LZQ,1974,Male,1663|2657|2174
32,user_000032,LP3cLL,1958,Male,1296|2108|47
33,user_000033,iBvgKz,1980,Male,555|1234|2648
34,user_000034,FkTATL,1977,Male,3594|1307|543
35,user_000035,kZ0nRj,1995,Male,3852|1201|908
36,user_000036,htCl0t,1982,Female,2490|3175|3702
37,user_000037,5Zj6Yi,1995,Other,377|2671|1569
38,user_000038,TPBTGr,1986,Male,2082|339|357
39,user_000039,fzbt9N,1967,Female,2396|3751|3793
40,user_000040,AmMQQF,1989,Male,1291|2406|1375
41,user_000041,hQwvMf,1991,Male,1658|1643|260
42,user_000042,3123kk,1975,Female,1610|2985|1240
43,user_000043,9HeX9H,1953,Female,2605|2394|2369
44,user_000044,qnkQNR,2002,Male,2018|780|318
45,user_000045,SMY036,2005,Male,3684|3269|1235
46,user_000046,aG9zv3,1977,Male,1974|1981|1327
47,user_000047,UKSfri,2009,Male,1247|318|1221
48,user_000048,C3shsz,1957,Male,2115|3897|592
49,user_000049,9UhMHc,1973,Male,1204|13|2641
50,user_000050,Dd9P95,1950,Male,3863|266|3861
51,user_000051,Ry0zkl,1955,Male,1721|1265|3484
52,user_000052,NqUWDd,1985,Male,780|2353|2167
53,user_000053,UAVsjQ,1964,Male,2161|2959|904
54,user_000054,1oGR2W,1992,Other,3685|3873|1641
55,user_000055,eSbN5p,1986,Male,356|2761|912
56,user_000056,4yYUhJ,1950,Female,457|2302|2289
57,user_000057,gn19xu,1964,Male,1242|1258|522
58,user_000058,TWJtKo,1979,Other,1356|2064|919
59,user_000059,x8Nxq6,2002,Other,3811|1234|1272
60,user_000060,0Hrzmb,1998,Male,356|350|986
61,user_000061,3dyLlv,1995,Other,3646|3882|1721
62,user_000062,aGF3i0,1974,Female,2528|1283|3504
63,user_000063,Po4CUL,1953,Male,2599|2761|2070
64,user_000064,ZJVy4F,2008,Other,2710|1198|3555
65,user_000065,Fjy6il,2009,Male,260|1220|50
66,user_000066,IzayUF,1968,Male,3578|480|3753
67,user_000067,9VW79d,1965,Female,3685|1185|2160
68,user_000068,d3zyQf,2003,Female,492|1073|3067
69,user_000069,xAc6FR,1987,Male,3148|25|1747
70,user_000070,7cH0ny,1985,Female,3751|3114|3793
71,user_000071,V1Yodu,1962,Female,1432|223|2605
72,user_000072,rSCA4g,1950,Male,597|356|2324
73,user_000073,soA1iQ,1955,Female,1479|2699|110
74,user_000074,s9G5rR,1995,Female,1284|296|800
75,user_000075,o55uej,1983,Male,19|577|1831
76,user_000076,DPH28u,1996,Male,2692|2359|3783
77,user_000077,UjGGxc,1972,Female,3578|2858|2759
78,user_000078,TOhnFm,1999,Male,1188|568|3282
79,user_000079,ae6HYy,1963,Female,164|3341|1617
80,user_000080,ZxS3xU,1975,Male,1917|1356|597
81,user_000081,WJVpaY,2005,Male,1300|913|1247
82,user_000082,M0ZZvK,1970,Other,1358|1197|318
83,user_000083,2sxrtX,1973,Male,2628|3798|2763
84,user_000084,R359ek,1958,Male,527|3578|1197
85,user_000085,Vlxvdt,1960,Female,3755|3510|3785
86,user_000086,tca7U1,1988,Male,3175|2236|754
87,user_000087,s5ISB9,1950,Other,1240|3639|1196
88,user_000088,5Ft0bJ,1974,Male,3334|3359|3210
89,user_000089,1oZ1Oz,1996,Female,1961|1704|2431
90,user_000090,Cm9VaW,1956,Female,2190|2976|1645
91,user_000091,uo4XyZ,1984,Male,910|1394|921
92,user_000092,oeLlyE,1955,Male,435|2941|3438
93,user_000093,3BCADF,2007,Male,1610|1200|3702
94,user_000094,qUymRf,1994,Female,3018|2118|1961
95,user_000095,A57PIz,1976,Other,110|356|3246
96,user_000096,04E6LF,1997,Male,1207|2501|3513
97,user_000097,PVXAcb,1990,Female,906|1931|918
98,user_000098,XPLeZK,1951,Male,296|318|1250
99,user_000099,m9An22,2003,Other,2716|919|3578
100,user_000100,ZD9aJI,1991,Female,1213|1198|1954
101,user_000101,LRIO8P,1954,Male,3755|260|21
102,user_000102,Qp71g3,1999,Male,928|111|24
103,user_000103,JOIkvn,1980,Female,1527|89|517
104,user_000104,RAXKlW,1972,Female,2840|2770|2706
105,user_000105,58Zbny,2003,Male,457|1127|3384
106,user_000106,99cafI,1973,Female,2243|920|3097
107,user_000107,wysobT,1983,Male,1283|899|929
